node_id,Betweenness Centrality,Eigenvector Centrality,Closeness Centrality,PageRank,Degree,Community
56,0.0,0.15769249795357804,0.08875552747946937,0.0004175402983921772,2,5
57,0.0,0.157692497953578,0.08875552747946937,0.00041754029839200066,2,5
58,363.1094231776786,0.00014519656637384073,0.06554394476581452,0.00044074653232241255,2,1
59,2799.5,0.008659021769752463,0.07670888840358157,0.0009629307787331495,5,1
60,0.0,1.3380846433898572e-10,0.042504916049009224,0.0004964255103311143,2,4
61,7757.544859354784,0.2872561856547472,0.09104458268532918,0.001293958425765965,8,5
62,5012.63594591685,0.0002774010972335001,0.06654037414160549,0.0012902663149740267,7,0
63,705.6666666666667,1.3680039932304265e-09,0.044390382610344066,0.0007374150485177621,4,4
64,0.3333333333333333,3.726792273098794e-10,0.04250877405300738,0.0004196976787936026,2,4
65,0.0,7.409595333855327e-07,0.053347002316133194,0.0003592647253625683,1,3
66,3481.794914880411,0.026252794543973296,0.08302310465047569,0.0012443403913320063,7,6
67,696.3333333333333,0.01191162466624454,0.08272491756947715,0.0005845464342242332,3,6
68,0.0,0.0046483088553359204,0.07666703044854305,0.00042381869397082304,2,6
69,364.60238095238094,0.014342582114749815,0.07985223074737141,0.000579577252509655,3,6
70,1.0833333333333333,0.005529608563583456,0.07810762730709361,0.00042160831414173917,2,6
71,319.30987645395624,0.015878666698621837,0.08007066735054426,0.0005571747413902335,3,6
72,467910.0369595851,0.019165108610236483,0.10396625721474027,0.0020208075471693588,12,7
73,8408.666666666668,0.018877126053320797,0.08277365382349476,0.002220715763359041,12,6
74,1404.0,2.926732320765687e-06,0.05621798975672215,0.0006869223256872334,2,3
75,476.1969696969698,0.203488827043876,0.09090909090909091,0.0005329967364671133,3,5
76,0.0,0.08360567614566669,0.08559244593359731,0.0003861214667117178,2,5
77,2302.972077396263,8.195690399045244e-05,0.09156673618352451,0.0008062084893761825,4,8
78,2399.573997497836,0.005656385303520986,0.0877795826565038,0.0011530991388246825,7,7
79,2491.3352132127116,0.000459103630650666,0.07979327578373467,0.0009884032169743427,5,7
80,5.5,0.00010295315332692603,0.07391235730443474,0.00046131762913156,2,7
81,0.0,3.9865830635804516e-07,0.0532277617820882,0.00039823827159067457,1,3
82,2806.0,1.6795650859896636e-09,0.046395667536241456,0.0008125074072805626,4,4
83,4644.657428128851,6.87480301721408e-05,0.06311202946725361,0.000906694399407426,4,3
84,21714.666407000946,0.016545180254591018,0.09579980908223101,0.0019300500433394488,12,7
85,44629.166666666664,1.5237281800251506e-05,0.05975926162221939,0.001071789548673061,5,3
86,549.9642719251855,0.004924518485048946,0.09102098989375486,0.0005324797350250806,3,7
87,0.0,0.002759893619792523,0.087451761483879,0.00039444091463326905,2,7
88,30.87361111111111,0.0012906178964917237,0.08361104498928826,0.00040221888937854534,2,7
89,14.212103174603174,0.0008214100770379455,0.08068684316315397,0.0005878001804165258,3,7
90,0.0,1.0219277675555682e-05,0.05954903789098923,0.0002833604883907243,1,3
91,27896.837381764144,0.006420949237192189,0.09458094917536183,0.0022630162966244226,13,7
92,497558.64545441855,0.057879812992722865,0.10490554767415815,0.0041189088184248965,27,7
93,381.8454442178578,0.0008769138501226241,0.08360606962213626,0.00040589393240931637,2,7
94,0.0,0.0009419068726572248,0.08360606962213626,0.0004033775807915187,2,7
95,3.452380952380952,9.490630530961326e-05,0.07390846922672278,0.0004734785735614645,2,7
96,0.0,2.5360603563308065e-07,0.05326206452102051,0.00048722724174243663,2,3
97,0.0,0.00011314970425717044,0.06298753698556442,0.0004046076075581284,2,0
98,313.8733030858032,4.941848649677552e-05,0.06248054431449282,0.00043594149289546535,2,0
